id,author,title,genre1,genre2
177,ဇော်လွင်ဉီး (ဟင်္သာတ),ကွယ်ပျောက်လုဆဲ ယင်းတလဲ,Biography,Biography
178,မစန္ဒာ,ဂျီဟောသူ,Fiction,Fiction
179,သန်းဝင်းလှိုင်,အာဏာရှင်နှင့်ပေါင်းစားနေသော ခရိုနီကြီးများ,Article,"History, Politics"
180,လူထုဒေါ်အမာ,မြန်မာ့ခေတ်သစ်ပန်းချီ,Article,Art
181,ဒေါက်တာတိုးလှ,အလောင်းမင်းတရားကြီး၏ကုန်းဘောင်ရွှေပြည်,History,History
182,အောင်မောင်း,ဈေးရောင်းခြင်းအနုပညာ,Article,Management
183,ကိုဝမ်း,သတင်းစာရောဂါနှင့် ရှေးဟောင်းနှောင်းဖြစ်စာပေရေးရာဆောင်းပါးများ,Article,Article
184,အဏ္ဏဝါစိုးမိုး,အဏ္ဏဝါခရီးသည်,Biography,Biography
185,အဏ္ဏဝါစိုးမိုး,အိုပယ်ကြီး၏နောက်ဆုံးနေ့များ,Biography,Biography
186,အဏ္ဏဝါစိုးမိုး,အဏ္ဏဝါခရီးသည်,Biography,Biography
187,အဏ္ဏဝါစိုးမိုး,အိုပယ်ကြီး၏နောက်ဆုံးနေ့များ,Biography,Biography
188,‌ကျော်ဝင်း,ပျေောက်ဆုံးသွားသော မျိုးဆက်တစ်ခု (ပထမတွဲ),Biography,Biography
189,‌ကျော်ဝင်း,ပျေောက်ဆုံးသွားသော မျိုးဆက်တစ်ခု (ဒုတိယတွဲ),Biography,Biography
190,‌ကျော်ဝင်း,ပျေောက်ဆုံးသွားသော မျိုးဆက်တစ်ခု (တတိယတွဲ),Biography,Biography
191,ညီပုလေး,ထက်မြက်တဲ့ဓါးသွားပေါ်က ချိုမြမြပျားရည်တစ်စက်,Biography,Biography
192,ဉီးလှဝင်း (လေတစ်ရဲတစ်ဉီး),ပါပီလွန်နှင့်ဗင်ကို,Translation,Fiction
193,မောင်စူးစမ်း,လပ်ဇပ်ကားနှင့်သံလွင်ပင်,Translation,History
194,ဝင်းငြိမ်း,မိမိနှင့်စာရေးဆရာများ,Interview,"Interview, Art"
195,မင်းစည်သူ,မြန်မာနိုင်ငံနတ်ကိုးကွယ်မှုသမိုင်းပေါင်းချုပ်,Tradition,"Knowledge, History, Religion"
196,နိုင်စွမ်း,တစ်ကိုယ်တော်မြောက်ဖျားစွန်းသို့,Translation,"History, Politics, Biography"
197,မြသန်းတင့်,သုခမြို့တော်,Translation,Fiction
198,မောင်မောင်စိုး,တိုင်းရင်းသားလက်နက်ကိုင်များအကြောင်းတစေ့တစောင်း,History,"History, Politics"
199,နေမျိုး,ဝတ္ထုတိုပေါင်းချုပ်,short story,Fiction
200,သုခ,သုခမှတ်စု,Proverbs,Knowledge
201,နိုင်ပန်းလှ,ရာဇာဓိရာဇ်အရေးတော်ပုံကျမ်း,History,History
202,မြကေတု,နန်းမူနန်းရာပေါင်းချုပ်,History,History
203,ကလောင်စုံ,ထို့ကြောင့် ဤသို့,History,"History, Politics, Biography"
204,လူထုဒေါ်အမာ,လူထုကိုလွမ်းရတယ်နဲ့ အခြားမှတ်စုများ,Article,Article
205,မှော်ဘီဆရာသိန်း,ဗဟုသုတ ဟင်းလေးအိုးနှင့် ရှေးတံဆပ်တော်ရ ဆရာတော်များစာတမ်း,History,History
206,ညီပုလေး,အပြောင်မြောက်ဆုံးလက်ရာနှင့် အခြားဝတ္ထုတိုများ,short story,Fiction
207,ရွှေေဉဩ,မြန်မာ့စကားပုံ မြန်မာ့ဆိုရိုးစကား,Proverbs,Knowledge
208,ကလောင်စုံ,လောကကြိတ်ပြုံး,short story,Fiction
209,ကလောင်စုံ,အောက်မေ့ဖွယ် ဟာသဝတ္ထုများ ၅,short story,Fiction
210,ဒေါက်တာခင်လက်ျာ,ကျွန်မသိသော ရဲဘော်သုံးကျိတ်ဝင်ဉီးလေးများ,History,"History, Politics, Biography"
211,ဉီးလှဝင်း (လေတစ်ရဲတစ်ဉီး),ကျွန်တော်ပန်းချီကုန်သည်,Article,Art
212,ကလောင်စုံ,ရှင််မဟာရဌသာရ,Article,Literature
213,ကလောင်စုံ,မြန်မာ ၂၀၅၀ အနာဂတ်အတွက် အဆင်သင့်ဖြစ်ပြီလား,Article,seminar
214,အရှင်ဇနကာဘိဝံသ,တစ်ဘဝသံသရာ,Biography,"Biography, Religion"
215,ကျီးသဲလေးထပ်ဆရာတော်ဘုရားကြီး,ဇိနတ္ထပကာသနီ,Religion,Religion
216,လင်္ကာရည်ကျော်,ပန်းမာန်,Fiction,Fiction
217,သရဝဏ်(ပြည်),အညတရမှတ်တမ်း,Biography,Biography
218,ကလောင်စုံ,ကိုယ်တွေ့သတင်းစာပညာ,Article,Knowledge
219,သာဓု,အနုဝင်္ကပါ,Article,Article
220,ဝင်းတင့် (စာကြည့်တိုက်မှူး),စာပွဲသဘင် (ရွှေပြည်ဉီးဘတင်၏ဟောပြောချက်များ),Article,History
221,အွန်လိုင်းဝဏ္ဏ,တပ်မတော်ထောက်လှမ်းရေးအရာရှိများနှင့်တွေ့ဆုံခြင်း,Interview,"Interview, Politics"
222,ဉီးဝင်းထိန်,ဗိုလ်ကြီးအုန်းကျော်မြင့် နိုင်ငံတော်လုပ်ကြံမှု,History,"History, Politics, Biography"
223,မြတ်ငြိမ်း,ဖေဖေပေးခဲ့မယ့်အမွေ,Translation,motivation
224,နတ်နွယ်,တက္ကသိုလ်နှင့်ပြင်ပကမ္ဘာ,Fiction,Fiction
225,စစ်ကိုင်းဉီးဘိုးသင်း,အလောင်းမင်းတရားကြီးဉီးအောင်ဇေယျ,History,History
226,သန်းထွန်း (ရေနံ),တိုင်းပြည်ကိုပြောင်းလဲစေခဲ့သော ရေနံစီမံကိန်းကြီးများ,Article,History
227,တင်နိုင်တိုး,ပုဂံစေတီပုထိုးများသမိုင်း နှင့် ခရီးသွားလမ်းညွှန်,Travelling,Travelling
228,လင်္ကာရည်ကျော်,နေဝင်အိပ်တန်းတက်,Fiction,Fiction
229,ရွေဖိုးခေါင်,မိုးကရွှေကို မင်းမြှောင်မိစ္ဆာ မိတ္ထီလာ ဝင်းထိန်,Article,Politics
230,ကိုတာ,ကစားတဲ့ ပါမောက္ခ,Biography,Biography
231,သရဝဏ်(ပြည်),အခြေအခုရှုပ်မှနောင်ရှင်း,Article,Politics
232,မန်းဖိုးအေး(ဝါးခယ်မ),တစ်ကျော့ပြန်ဖုန်ကျားရှင်,Translation,Politics
233,ဉီးဝင်းထိန်,သူတို့နဲ့ကျွန်တော်,Article,Politics
234,ဟိန်းလတ်,ဂျက်မား,Translation,Biography
235,သရဝဏ်(ပြည်),နိုင်ငံရေးဂိုဏ်းဂဏစိတ်ဓာတ်အပါအဝင်လက်ရွေးစင်ဆောင်းပါးများ,Article,Politics
236,ဂျက် ကွမ်းခြံကုန်း,ပြောစမှတ်ဆန်းတဲ့ တောဇာတ်လမ်း,Article,Satire
237,ကျော်သူစိုး (ကလေး),ကောလိပ်သူပုန်,Biography,Politics
238,ဖိုးသောကြာ (ခေတ်မိုး),သတင်းသမားရဲ့သတင်းဝင်္ကပါ,Article,Knowledge
239,မိုးတိမ် (သေ့ဘောဘိုး),တောခိုကျောင်းသားများ ထိုင်း-မြန်မာနယ်စပ် ဖြစ်ရပ်မှန်များ ၂,Article,Politics
240,ဝင်းငြိမ်း,အချစ်စစ်အချစ်မှန်ဆိုသည်မှာ,Translation,Biography
241,ဝီလျှံအောင်,မော်တော်ယာဉ်အာမခံအကြောင်း မသိမဖြစ်သိကောင်းစရာများ,Article,Knowledge
242,ဇင်ဝေသော်,လူတစ်ယောက်ရဲ့ ကမ္ဘာ့အမြင်,Translation,Biography
243,လူထုစိန်ဝင်း,သတင်းစာပညာသောင်းပြောင်းထွေလာ,Article,Knowledge
244,ဉီးဘုန်း (ဓာတု) မန္တလေး,အပျိုကြီးပုံပြင် အတွေးရသပုံပြင်များ,Story,story
245,လင်္ကာရည်ကျော်,ကံ့ကော်,Fiction,Fiction
246,ထက်မြက်,မင်းပြောင်းမင်းလွဲ,Translation,History
247,အေးဆောင်,နောက်တန်းကဗမာတစ်ယောက်,Biography,"Biography, Politics"
248,တက္ကသိုလ်ထင်ကြီး,မြန်မာနိုင်ငံသတင်းစာများအညွှန်း (ပထမတွဲ),Article,Knowledge
249,ဟိန်းလတ် - (ဝင်ဒီလောရုံ),ရှင််ရင်ရွှေထီး,Translation,Biography
250,ကလောင်စုံ,ဆောင်း နှင်း ဝေ မှုန် ပြာ ရီ မှိုင်း ညို့ မှောင်,Biography,Biography
251,အောင်လှိုင်,အိမ်ကိုအခြေပြု၍စီးပွားရေးလုပ်ကိုင်ခြင်း,Translation,Economy
